frame_idx,pts_ms,duration_ms,frame_type,payload_bytes,key_frame,gop_id,importance_rank,display_deadline_ms
0,0.0,33.333,I,77331,1,0,0,83.333
1,33.333,33.334,B,301,0,0,2,116.667
2,66.667,33.333,B,460,0,0,2,150.0
3,100.0,33.333,B,521,0,0,2,183.333
4,133.333,33.334,B,713,0,0,2,216.667
5,166.667,33.333,B,567,0,0,2,250.0
6,200.0,33.333,P,2133,0,0,1,283.333
7,233.333,33.334,B,407,0,0,2,316.667
8,266.667,33.333,B,602,0,0,2,350.0
9,300.0,33.333,B,698,0,0,2,383.333
10,333.333,33.334,B,442,0,0,2,416.667
11,366.667,33.333,P,4538,0,0,1,450.0
12,400.0,33.333,B,533,0,0,2,483.333
13,433.333,33.334,B,758,0,0,2,516.667
14,466.667,33.333,B,1192,0,0,2,550.0
15,500.0,33.333,B,680,0,0,2,583.333
16,533.333,33.334,B,532,0,0,2,616.667
17,566.667,33.333,P,7970,0,0,1,650.0
18,600.0,33.333,B,566,0,0,2,683.333
19,633.333,33.334,B,744,0,0,2,716.667
20,666.667,33.333,B,866,0,0,2,750.0
21,700.0,33.333,B,744,0,0,2,783.333
22,733.333,33.334,B,591,0,0,2,816.667
23,766.667,33.333,P,8187,0,0,1,850.0
24,800.0,33.333,B,658,0,0,2,883.333
25,833.333,33.334,B,904,0,0,2,916.667
26,866.667,33.333,B,1299,0,0,2,950.0
27,900.0,33.333,B,788,0,0,2,983.333
28,933.333,33.334,B,568,0,0,2,1016.667
29,966.667,33.333,P,10271,0,0,1,1050.0
30,1000.0,33.333,B,844,0,0,2,1083.333
31,1033.333,33.334,B,928,0,0,2,1116.667
32,1066.667,33.333,B,1027,0,0,2,1150.0
33,1100.0,33.333,B,784,0,0,2,1183.333
34,1133.333,33.334,B,465,0,0,2,1216.667
35,1166.667,33.333,P,13120,0,0,1,1250.0
36,1200.0,33.333,B,917,0,0,2,1283.333
37,1233.333,33.334,B,953,0,0,2,1316.667
38,1266.667,33.333,B,1302,0,0,2,1350.0
39,1300.0,33.333,B,818,0,0,2,1383.333
40,1333.333,33.334,B,667,0,0,2,1416.667
