frame_idx,pts_ms,duration_ms,frame_type,payload_bytes,key_frame,gop_id,importance_rank,display_deadline_ms
41,1366.667,33.333,P,15515,0,0,1,1450.0
42,1400.0,33.333,B,714,0,0,2,1483.333
43,1433.333,33.334,B,938,0,0,2,1516.667
44,1466.667,33.333,B,1152,0,0,2,1550.0
45,1500.0,33.333,B,867,0,0,2,1583.333
46,1533.333,33.334,B,626,0,0,2,1616.667
47,1566.667,33.333,P,12182,0,0,1,1650.0
48,1600.0,33.333,B,921,0,0,2,1683.333
49,1633.333,33.334,B,1011,0,0,2,1716.667
50,1666.667,33.333,B,896,0,0,2,1750.0
51,1700.0,33.333,B,700,0,0,2,1783.333
52,1733.333,33.334,P,12442,0,0,1,1816.667
53,1766.667,33.333,B,844,0,0,2,1850.0
54,1800.0,33.333,B,998,0,0,2,1883.333
55,1833.333,33.334,B,1201,0,0,2,1916.667
56,1866.667,33.333,B,893,0,0,2,1950.0
57,1900.0,33.333,B,743,0,0,2,1983.333
58,1933.333,33.334,P,13585,0,0,1,2016.667
59,1966.667,33.333,B,844,0,0,2,2050.0
60,2000.0,33.333,B,957,0,0,2,2083.333
61,2033.333,33.334,B,1272,0,0,2,2116.667
62,2066.667,33.333,B,880,0,0,2,2150.0
63,2100.0,33.333,B,704,0,0,2,2183.333
64,2133.333,33.334,P,12579,0,0,1,2216.667
65,2166.667,33.333,B,908,0,0,2,2250.0
66,2200.0,33.333,B,998,0,0,2,2283.333
67,2233.333,33.334,B,1241,0,0,2,2316.667
68,2266.667,33.333,B,898,0,0,2,2350.0
69,2300.0,33.333,B,738,0,0,2,2383.333
70,2333.333,33.334,P,12846,0,0,1,2416.667
71,2366.667,33.333,B,879,0,0,2,2450.0
72,2400.0,33.333,B,976,0,0,2,2483.333
73,2433.333,33.334,B,1200,0,0,2,2516.667
74,2466.667,33.333,B,889,0,0,2,2550.0
75,2500.0,33.333,B,686,0,0,2,2583.333
76,2533.333,33.334,P,11940,0,0,1,2616.667
77,2566.667,33.333,B,791,0,0,2,2650.0
78,2600.0,33.333,B,962,0,0,2,2683.333
79,2633.333,33.334,B,1284,0,0,2,2716.667
80,2666.667,33.333,B,902,0,0,2,2750.0
81,2700.0,33.333,B,715,0,0,2,2783.333
82,2733.333,33.334,P,12139,0,0,1,2816.667
83,2766.667,33.333,B,879,0,0,2,2850.0
84,2800.0,33.333,B,953,0,0,2,2883.333
85,2833.333,33.334,B,1274,0,0,2,2916.667
86,2866.667,33.333,B,922,0,0,2,2950.0
87,2900.0,33.333,B,745,0,0,2,2983.333
88,2933.333,33.334,P,12280,0,0,1,3016.667
89,2966.667,33.333,B,847,0,0,2,3050.0
90,3000.0,33.333,B,1029,0,0,2,3083.333
91,3033.333,33.334,B,1298,0,0,2,3116.667
92,3066.667,33.333,B,907,0,0,2,3150.0
93,3100.0,33.333,B,768,0,0,2,3183.333
94,3133.333,33.334,P,12702,0,0,1,3216.667
95,3166.667,33.333,B,905,0,0,2,3250.0
96,3200.0,33.333,B,1015,0,0,2,3283.333
97,3233.333,33.334,B,1305,0,0,2,3316.667
98,3266.667,33.333,B,914,0,0,2,3350.0
99,3300.0,33.333,B,709,0,0,2,3383.333
100,3333.333,33.334,P,12781,0,0,1,3416.667
101,3366.667,33.333,B,826,0,0,2,3450.0
102,3400.0,33.333,B,1013,0,0,2,3483.333
103,3433.333,33.334,B,1309,0,0,2,3516.667
104,3466.667,33.333,B,898,0,0,2,3550.0
105,3500.0,33.333,B,738,0,0,2,3583.333
106,3533.333,33.334,P,12742,0,0,1,3616.667
107,3566.667,33.333,B,812,0,0,2,3650.0
108,3600.0,33.333,B,996,0,0,2,3683.333
109,3633.333,33.334,B,1325,0,0,2,3716.667
110,3666.667,33.333,B,905,0,0,2,3750.0
111,3700.0,33.333,B,769,0,0,2,3783.333
112,3733.333,33.334,P,12727,0,0,1,3816.667
113,3766.667,33.333,B,853,0,0,2,3850.0
114,3800.0,33.333,B,972,0,0,2,3883.333
115,3833.333,33.334,B,1530,0,0,2,3916.667
116,3866.667,33.333,B,862,0,0,2,3950.0
117,3900.0,33.333,B,714,0,0,2,3983.333
118,3933.333,33.334,P,12706,0,0,1,4016.667
119,3966.667,33.333,B,818,0,0,2,4050.0
120,4000.0,33.333,B,980,0,0,2,4083.333
121,4033.333,33.334,B,1239,0,0,2,4116.667
122,4066.667,33.333,B,923,0,0,2,4150.0
123,4100.0,33.333,B,750,0,0,2,4183.333
124,4133.333,33.334,P,12249,0,0,1,4216.667
125,4166.667,33.333,B,818,0,0,2,4250.0
126,4200.0,33.333,B,979,0,0,2,4283.333
127,4233.333,33.334,B,1335,0,0,2,4316.667
128,4266.667,33.333,B,913,0,0,2,4350.0
129,4300.0,33.333,B,767,0,0,2,4383.333
130,4333.333,33.334,P,12851,0,0,1,4416.667
131,4366.667,33.333,B,764,0,0,2,4450.0
132,4400.0,33.333,B,993,0,0,2,4483.333
133,4433.333,33.334,B,1282,0,0,2,4516.667
134,4466.667,33.333,B,914,0,0,2,4550.0
135,4500.0,33.333,B,730,0,0,2,4583.333
136,4533.333,33.334,P,12550,0,0,1,4616.667
137,4566.667,33.333,B,778,0,0,2,4650.0
138,4600.0,33.333,B,1004,0,0,2,4683.333
139,4633.333,33.334,B,1320,0,0,2,4716.667
140,4666.667,33.333,B,889,0,0,2,4750.0
141,4700.0,33.333,B,667,0,0,2,4783.333
142,4733.333,33.334,P,12925,0,0,1,4816.667
143,4766.667,33.333,B,827,0,0,2,4850.0
144,4800.0,33.333,B,1004,0,0,2,4883.333
145,4833.333,33.334,B,1306,0,0,2,4916.667
146,4866.667,33.333,B,899,0,0,2,4950.0
147,4900.0,33.333,B,712,0,0,2,4983.333
148,4933.333,33.334,P,13353,0,0,1,5016.667
149,4966.667,33.333,B,875,0,0,2,5050.0
150,5000.0,33.333,B,1026,0,0,2,5083.333
151,5033.333,33.334,B,1320,0,0,2,5116.667
152,5066.667,33.333,B,926,0,0,2,5150.0
153,5100.0,33.333,B,768,0,0,2,5183.333
154,5133.333,33.334,P,13008,0,0,1,5216.667
155,5166.667,33.333,B,928,0,0,2,5250.0
156,5200.0,33.333,B,1022,0,0,2,5283.333
157,5233.333,33.334,B,1345,0,0,2,5316.667
158,5266.667,33.333,B,967,0,0,2,5350.0
159,5300.0,33.333,B,829,0,0,2,5383.333
160,5333.333,33.334,P,12651,0,0,1,5416.667
161,5366.667,33.333,B,928,0,0,2,5450.0
162,5400.0,33.333,B,1024,0,0,2,5483.333
163,5433.333,33.334,B,1627,0,0,2,5516.667
164,5466.667,33.333,B,911,0,0,2,5550.0
165,5500.0,33.333,B,783,0,0,2,5583.333
166,5533.333,33.334,P,12516,0,0,1,5616.667
167,5566.667,33.333,B,871,0,0,2,5650.0
168,5600.0,33.333,B,999,0,0,2,5683.333
169,5633.333,33.334,B,1242,0,0,2,5716.667
170,5666.667,33.333,B,913,0,0,2,5750.0
171,5700.0,33.333,B,724,0,0,2,5783.333
172,5733.333,33.334,P,12601,0,0,1,5816.667
173,5766.667,33.333,B,851,0,0,2,5850.0
174,5800.0,33.333,B,939,0,0,2,5883.333
175,5833.333,33.334,B,1656,0,0,2,5916.667
176,5866.667,33.333,B,916,0,0,2,5950.0
177,5900.0,33.333,B,817,0,0,2,5983.333
178,5933.333,33.334,P,12388,0,0,1,6016.667
179,5966.667,33.333,B,917,0,0,2,6050.0
180,6000.0,33.333,B,1021,0,0,2,6083.333
181,6033.333,33.334,B,1330,0,0,2,6116.667
182,6066.667,33.333,B,942,0,0,2,6150.0
183,6100.0,33.333,B,795,0,0,2,6183.333
184,6133.333,33.334,P,12873,0,0,1,6216.667
185,6166.667,33.333,B,927,0,0,2,6250.0
186,6200.0,33.333,B,1008,0,0,2,6283.333
187,6233.333,33.334,B,1260,0,0,2,6316.667
188,6266.667,33.333,B,949,0,0,2,6350.0
189,6300.0,33.333,B,784,0,0,2,6383.333
190,6333.333,33.334,P,12324,0,0,1,6416.667
191,6366.667,33.333,B,879,0,0,2,6450.0
192,6400.0,33.333,B,1044,0,0,2,6483.333
193,6433.333,33.334,B,877,0,0,2,6516.667
194,6466.667,33.333,B,782,0,0,2,6550.0
195,6500.0,33.333,P,10434,0,0,1,6583.333
196,6533.333,33.334,B,873,0,0,2,6616.667
197,6566.667,33.333,B,1002,0,0,2,6650.0
198,6600.0,33.333,B,1312,0,0,2,6683.333
199,6633.333,33.334,B,939,0,0,2,6716.667
200,6666.667,33.333,B,801,0,0,2,6750.0
201,6700.0,33.333,P,12573,0,0,1,6783.333
202,6733.333,33.334,B,972,0,0,2,6816.667
203,6766.667,33.333,B,1030,0,0,2,6850.0
204,6800.0,33.333,B,1632,0,0,2,6883.333
205,6833.333,33.334,B,980,0,0,2,6916.667
206,6866.667,33.333,B,851,0,0,2,6950.0
207,6900.0,33.333,P,11872,0,0,1,6983.333
208,6933.333,33.334,B,993,0,0,2,7016.667
209,6966.667,33.333,B,1016,0,0,2,7050.0
210,7000.0,33.333,B,1303,0,0,2,7083.333
211,7033.333,33.334,B,963,0,0,2,7116.667
212,7066.667,33.333,B,763,0,0,2,7150.0
213,7100.0,33.333,P,14745,0,0,1,7183.333
214,7133.333,33.334,B,867,0,0,2,7216.667
215,7166.667,33.333,B,1017,0,0,2,7250.0
216,7200.0,33.333,B,1579,0,0,2,7283.333
217,7233.333,33.334,B,972,0,0,2,7316.667
218,7266.667,33.333,B,808,0,0,2,7350.0
219,7300.0,33.333,P,12766,0,0,1,7383.333
220,7333.333,33.334,B,789,0,0,2,7416.667
221,7366.667,33.333,B,969,0,0,2,7450.0
222,7400.0,33.333,B,1268,0,0,2,7483.333
223,7433.333,33.334,B,991,0,0,2,7516.667
224,7466.667,33.333,B,777,0,0,2,7550.0
225,7500.0,33.333,P,10885,0,0,1,7583.333
226,7533.333,33.334,B,1023,0,0,2,7616.667
227,7566.667,33.333,B,1066,0,0,2,7650.0
228,7600.0,33.333,B,1318,0,0,2,7683.333
229,7633.333,33.334,B,962,0,0,2,7716.667
230,7666.667,33.333,B,772,0,0,2,7750.0
231,7700.0,33.333,P,13801,0,0,1,7783.333
232,7733.333,33.334,B,835,0,0,2,7816.667
233,7766.667,33.333,B,1014,0,0,2,7850.0
234,7800.0,33.333,B,1360,0,0,2,7883.333
235,7833.333,33.334,B,981,0,0,2,7916.667
236,7866.667,33.333,B,771,0,0,2,7950.0
237,7900.0,33.333,P,12798,0,0,1,7983.333
238,7933.333,33.334,B,884,0,0,2,8016.667
239,7966.667,33.333,B,1098,0,0,2,8050.0
240,8000.0,33.333,B,1340,0,0,2,8083.333
241,8033.333,33.334,B,984,0,0,2,8116.667
242,8066.667,33.333,B,837,0,0,2,8150.0
243,8100.0,33.333,P,12053,0,0,1,8183.333
244,8133.333,33.334,B,927,0,0,2,8216.667
245,8166.667,33.333,B,1071,0,0,2,8250.0
246,8200.0,33.333,B,1259,0,0,2,8283.333
247,8233.333,33.334,B,970,0,0,2,8316.667
248,8266.667,33.333,B,774,0,0,2,8350.0
249,8300.0,33.333,P,12680,0,0,1,8383.333
250,8333.333,33.334,I,89287,1,1,0,8416.667
251,8366.667,33.333,B,552,0,1,2,8450.0
252,8400.0,33.333,B,742,0,1,2,8483.333
253,8433.333,33.334,B,868,0,1,2,8516.667
254,8466.667,33.333,B,883,0,1,2,8550.0
255,8500.0,33.333,B,695,0,1,2,8583.333
256,8533.333,33.334,P,2452,0,1,1,8616.667
257,8566.667,33.333,B,784,0,1,2,8650.0
258,8600.0,33.333,B,1131,0,1,2,8683.333
259,8633.333,33.334,B,797,0,1,2,8716.667
260,8666.667,33.333,B,644,0,1,2,8750.0
261,8700.0,33.333,P,8300,0,1,1,8783.333
262,8733.333,33.334,B,678,0,1,2,8816.667
263,8766.667,33.333,B,892,0,1,2,8850.0
264,8800.0,33.333,B,863,0,1,2,8883.333
265,8833.333,33.334,B,756,0,1,2,8916.667
266,8866.667,33.333,B,547,0,1,2,8950.0
267,8900.0,33.333,P,9435,0,1,1,8983.333
268,8933.333,33.334,B,713,0,1,2,9016.667
269,8966.667,33.333,B,912,0,1,2,9050.0
270,9000.0,33.333,B,1076,0,1,2,9083.333
271,9033.333,33.334,B,860,0,1,2,9116.667
272,9066.667,33.333,B,592,0,1,2,9150.0
273,9100.0,33.333,P,13089,0,1,1,9183.333
274,9133.333,33.334,B,568,0,1,2,9216.667
275,9166.667,33.333,B,909,0,1,2,9250.0
276,9200.0,33.333,B,1123,0,1,2,9283.333
277,9233.333,33.334,B,922,0,1,2,9316.667
278,9266.667,33.333,B,674,0,1,2,9350.0
279,9300.0,33.333,P,8299,0,1,1,9383.333
280,9333.333,33.334,B,827,0,1,2,9416.667
281,9366.667,33.333,B,1033,0,1,2,9450.0
282,9400.0,33.333,B,1220,0,1,2,9483.333
283,9433.333,33.334,B,963,0,1,2,9516.667
284,9466.667,33.333,B,742,0,1,2,9550.0
285,9500.0,33.333,P,10030,0,1,1,9583.333
286,9533.333,33.334,B,681,0,1,2,9616.667
287,9566.667,33.333,B,1027,0,1,2,9650.0
288,9600.0,33.333,B,1369,0,1,2,9683.333
289,9633.333,33.334,B,930,0,1,2,9716.667
290,9666.667,33.333,B,876,0,1,2,9750.0
291,9700.0,33.333,P,7476,0,1,1,9783.333
292,9733.333,33.334,B,902,0,1,2,9816.667
293,9766.667,33.333,B,1010,0,1,2,9850.0
294,9800.0,33.333,B,903,0,1,2,9883.333
295,9833.333,33.334,P,5855,0,1,1,9916.667
296,9866.667,33.333,B,979,0,1,2,9950.0
297,9900.0,33.333,B,1282,0,1,2,9983.333
298,9933.333,33.334,B,1104,0,1,2,10016.667
299,9966.667,33.333,P,3230,0,1,1,10050.0
