event_idx,frame_type,key_frame,gop_id,payload_bytes,event_time_ms,display_deadline_ms,baseline_on_time,baseline_qoe,drop_qoe,delta_qoe,label_mode,delta_qoe_norm
0,I,1,0,77331,0.0,83.333,False,0.35586666666666666,0.05495715089631043,0.30090951577035624,delta_qoe_proxy_v1,1.0
1,B,0,0,301,33.333,116.667,True,0.35586666666666666,0.3548144568183519,0.001052209848314778,delta_qoe_proxy_v1,0.003496764951487238
2,B,0,0,460,66.667,150.0,True,0.35586666666666666,0.3548044855031291,0.0010621811635375678,delta_qoe_proxy_v1,0.0035299022060445166
3,B,0,0,521,100.0,183.333,True,0.35586666666666666,0.35480066002999333,0.0010660066366733334,delta_qoe_proxy_v1,0.0035426152408117024
4,B,0,0,713,133.333,216.667,True,0.35586666666666666,0.35478861919651683,0.0010780474701498344,delta_qoe_proxy_v1,0.0035826300387674114
5,B,0,0,567,166.667,250.0,True,0.35586666666666666,0.3547977752469729,0.0010688914196937405,delta_qoe_proxy_v1,0.0035522021194885757
6,P,0,0,2133,200.0,283.33299999999997,True,0.35586666666666666,0.35469956719893,0.0011670994677366875,delta_qoe_proxy_v1,0.00387857281531561
7,B,0,0,407,233.333,316.66700000000003,True,0.35586666666666666,0.35480780927487005,0.0010588573917966193,delta_qoe_proxy_v1,0.003518856454525362
8,B,0,0,602,266.667,350.0,True,0.35586666666666666,0.35479558030337044,0.0010710863632962253,delta_qoe_proxy_v1,0.0035594964836992444
9,B,0,0,698,300.0,383.33299999999997,True,0.35586666666666666,0.3547895598866322,0.0010771067800344758,delta_qoe_proxy_v1,0.0035795038826770985
10,B,0,0,442,333.333,416.66700000000003,True,0.35586666666666666,0.35480561433126756,0.0010610523353991042,delta_qoe_proxy_v1,0.0035261508187360304
11,P,0,0,4538,366.667,450.0,True,0.35586666666666666,0.3545487432171016,0.0013179234495650505,delta_qoe_proxy_v1,0.00437979984179312
12,B,0,0,533,400.0,483.33299999999997,True,0.35586666666666666,0.3547999074779011,0.001066759188765587,delta_qoe_proxy_v1,0.003545116165683842
13,B,0,0,758,433.333,516.667,True,0.35586666666666666,0.35478579712617075,0.00108086954049591,delta_qoe_proxy_v1,0.00359200850703835
14,B,0,0,1192,466.667,550.0,True,0.35586666666666666,0.35475857982549985,0.001108086841166811,delta_qoe_proxy_v1,0.003682458623250933
15,B,0,0,680,500.0,583.333,True,0.35586666666666666,0.3547906887147706,0.0010759779518960677,delta_qoe_proxy_v1,0.003575752495368797
16,B,0,0,532,533.333,616.6669999999999,True,0.35586666666666666,0.3547999701905754,0.0010666964760912556,delta_qoe_proxy_v1,0.0035449077552779074
17,P,0,0,7970,566.667,650.0,True,0.35586666666666666,0.3543335133187087,0.0015331533479579496,delta_qoe_proxy_v1,0.00509506435525289
18,B,0,0,566,600.0,683.333,True,0.35586666666666666,0.35479783795964726,0.0010688287070194091,delta_qoe_proxy_v1,0.003551993709082641
19,B,0,0,744,633.333,716.6669999999999,True,0.35586666666666666,0.3547866751036117,0.0010799915630549384,delta_qoe_proxy_v1,0.0035890907613541564
20,B,0,0,866,666.667,750.0,True,0.35586666666666666,0.3547790241573402,0.0010876425093264697,delta_qoe_proxy_v1,0.0036145168308885285
21,B,0,0,744,700.0,783.333,True,0.35586666666666666,0.3547866751036117,0.0010799915630549384,delta_qoe_proxy_v1,0.0035890907613541564
22,B,0,0,591,733.333,816.6669999999999,True,0.35586666666666666,0.35479627014278836,0.001070396523878303,delta_qoe_proxy_v1,0.0035572039692330394
23,P,0,0,8187,766.667,850.0,True,0.35586666666666666,0.35431990466837326,0.0015467619982934,delta_qoe_proxy_v1,0.005140289413359182
24,B,0,0,658,800.0,883.333,True,0.35586666666666666,0.35479206839360644,0.0010745982730602233,delta_qoe_proxy_v1,0.0035711674664363874
25,B,0,0,904,833.333,916.6669999999999,True,0.35586666666666666,0.35477664107571466,0.001090025590952004,delta_qoe_proxy_v1,0.0036224364263171853
26,B,0,0,1299,866.667,950.0,True,0.35586666666666666,0.3547518695693437,0.0011147970973229837,delta_qoe_proxy_v1,0.0037047585366949925
27,B,0,0,788,900.0,983.333,True,0.35586666666666666,0.35478391574594004,0.0010827509207266273,delta_qoe_proxy_v1,0.0035982608192189755
28,B,0,0,568,933.333,1016.6669999999999,True,0.35586666666666666,0.3547977125342986,0.0010689541323680718,delta_qoe_proxy_v1,0.0035524105298945104
29,P,0,0,10271,966.667,1050.0,True,0.35586666666666666,0.3541892114550134,0.0016774552116532448,delta_qoe_proxy_v1,0.005574616699504514
30,B,0,0,844,1000.0,1083.333,True,0.35586666666666666,0.35478040383617604,0.0010862628304906252,delta_qoe_proxy_v1,0.0036099318019561185
31,B,0,0,928,1033.333,1116.6670000000001,True,0.35586666666666666,0.3547751359715301,0.0010915306951365666,delta_qoe_proxy_v1,0.003627438276061649
32,B,0,0,1027,1066.667,1150.0,True,0.35586666666666666,0.35476892741676874,0.0010977392498979222,delta_qoe_proxy_v1,0.0036480709062576768
33,B,0,0,784,1100.0,1183.333,True,0.35586666666666666,0.3547841665966375,0.001082500070029191,delta_qoe_proxy_v1,0.0035974271775948675
34,B,0,0,465,1133.333,1216.6670000000001,True,0.35586666666666666,0.35480417193975733,0.0010624947269093354,delta_qoe_proxy_v1,0.0035309442580745594
35,P,0,0,13120,1166.667,1250.0,True,0.35586666666666666,0.3540105430457706,0.001856123620896044,delta_qoe_proxy_v1,0.006168377946254693
36,B,0,0,917,1200.0,1283.333,True,0.35586666666666666,0.354775825810948,0.0010908408557186444,delta_qoe_proxy_v1,0.0036251457615954445
37,B,0,0,953,1233.333,1316.6670000000001,True,0.35586666666666666,0.35477356815467115,0.0010930985119955161,delta_qoe_proxy_v1,0.0036326485362122318
38,B,0,0,1302,1266.667,1350.0,True,0.35586666666666666,0.3547516814313206,0.0011149852353460887,delta_qoe_proxy_v1,0.003705383767913166
39,B,0,0,818,1300.0,1383.333,True,0.35586666666666666,0.3547820343657093,0.0010846323009573444,delta_qoe_proxy_v1,0.003604513131399601
40,B,0,0,667,1333.333,1416.6670000000001,True,0.35586666666666666,0.35479150397953724,0.0010751626871294273,delta_qoe_proxy_v1,0.003573043160090538
41,P,0,0,15515,1366.667,1450.0,True,0.35586666666666666,0.3538603461906858,0.0020063204759808717,delta_qoe_proxy_v1,0.006667520868672117
42,B,0,0,714,1400.0,1483.333,True,0.35586666666666666,0.35478855648384244,0.0010781101828242212,delta_qoe_proxy_v1,0.0035828384491735305
43,B,0,0,938,1433.333,1516.6670000000001,True,0.35586666666666666,0.3547745088447865,0.0010921578218801575,delta_qoe_proxy_v1,0.0036295223801219192
