video_name,policy_name,bandwidth_mbps,round_trip_time_ms,loss_rate,job_index,job_count,output_directory,summary_csv,status,return_code,elapsed_seconds,stdout_tail,stderr_tail
archive_popeye_512kb,heuristic_frame_aware,1.0,10.0,0.0,1,12,output\mininet_actual_experiment\archive_popeye_512kb\heuristic_frame_aware\1mbps,output\mininet_actual_experiment\archive_popeye_512kb\heuristic_frame_aware\1mbps\summary.csv,completed,0,1322.969,"{
  ""video_name"": ""archive_popeye_512kb"",
  ""policy_name"": ""heuristic_frame_aware"",
  ""bandwidth_mbps"": 1.0,
  ""repeat_count"": 3,
  ""output_directory"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/heuristic_frame_aware/1mbps"",
  ""summary_csv"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/heuristic_frame_aware/1mbps/summary.csv""
}
","2026-05-13 10:21:52,204 INFO __main__ - Starting repeat 1/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=1.0 Mbps
2026-05-13 10:29:08,697 INFO __main__ - Starting repeat 2/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=1.0 Mbps
2026-05-13 10:36:32,192 INFO __main__ - Starting repeat 3/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=1.0 Mbps
"
archive_popeye_512kb,heuristic_frame_aware,1.0,50.0,0.0,2,12,output\mininet_actual_experiment\archive_popeye_512kb\heuristic_frame_aware\1mbps_rtt50ms_loss0pct,output\mininet_actual_experiment\archive_popeye_512kb\heuristic_frame_aware\1mbps_rtt50ms_loss0pct\summary.csv,completed,0,1326.828,"{
  ""video_name"": ""archive_popeye_512kb"",
  ""policy_name"": ""heuristic_frame_aware"",
  ""bandwidth_mbps"": 1.0,
  ""repeat_count"": 3,
  ""output_directory"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/heuristic_frame_aware/1mbps_rtt50ms_loss0pct"",
  ""summary_csv"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/heuristic_frame_aware/1mbps_rtt50ms_loss0pct/summary.csv""
}
","2026-05-13 10:43:54,389 INFO __main__ - Starting repeat 1/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=1.0 Mbps
2026-05-13 10:51:15,351 INFO __main__ - Starting repeat 2/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=1.0 Mbps
2026-05-13 10:58:37,992 INFO __main__ - Starting repeat 3/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=1.0 Mbps
"
archive_popeye_512kb,heuristic_frame_aware,5.0,10.0,0.0,3,12,output\mininet_actual_experiment\archive_popeye_512kb\heuristic_frame_aware\5mbps,output\mininet_actual_experiment\archive_popeye_512kb\heuristic_frame_aware\5mbps\summary.csv,completed,0,1334.969,"{
  ""video_name"": ""archive_popeye_512kb"",
  ""policy_name"": ""heuristic_frame_aware"",
  ""bandwidth_mbps"": 5.0,
  ""repeat_count"": 3,
  ""output_directory"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/heuristic_frame_aware/5mbps"",
  ""summary_csv"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/heuristic_frame_aware/5mbps/summary.csv""
}
","2026-05-13 11:06:00,211 INFO __main__ - Starting repeat 1/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=5.0 Mbps
2026-05-13 11:13:26,071 INFO __main__ - Starting repeat 2/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=5.0 Mbps
2026-05-13 11:20:45,754 INFO __main__ - Starting repeat 3/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=5.0 Mbps
"
archive_popeye_512kb,heuristic_frame_aware,5.0,50.0,0.0,4,12,output\mininet_actual_experiment\archive_popeye_512kb\heuristic_frame_aware\5mbps_rtt50ms_loss0pct,output\mininet_actual_experiment\archive_popeye_512kb\heuristic_frame_aware\5mbps_rtt50ms_loss0pct\summary.csv,completed,0,1336.188,"{
  ""video_name"": ""archive_popeye_512kb"",
  ""policy_name"": ""heuristic_frame_aware"",
  ""bandwidth_mbps"": 5.0,
  ""repeat_count"": 3,
  ""output_directory"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/heuristic_frame_aware/5mbps_rtt50ms_loss0pct"",
  ""summary_csv"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/heuristic_frame_aware/5mbps_rtt50ms_loss0pct/summary.csv""
}
","2026-05-13 11:28:16,489 INFO __main__ - Starting repeat 1/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=5.0 Mbps
2026-05-13 11:35:39,559 INFO __main__ - Starting repeat 2/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=5.0 Mbps
2026-05-13 11:43:03,260 INFO __main__ - Starting repeat 3/3 for video=archive_popeye_512kb policy=heuristic_frame_aware bandwidth=5.0 Mbps
"
archive_popeye_512kb,frame_action_single_path,1.0,10.0,0.0,5,12,output\mininet_actual_experiment\archive_popeye_512kb\frame_action_single_path\1mbps,output\mininet_actual_experiment\archive_popeye_512kb\frame_action_single_path\1mbps\summary.csv,completed,0,1329.485,"{
  ""video_name"": ""archive_popeye_512kb"",
  ""policy_name"": ""frame_action_single_path"",
  ""bandwidth_mbps"": 1.0,
  ""repeat_count"": 3,
  ""output_directory"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/frame_action_single_path/1mbps"",
  ""summary_csv"": ""/mnt/c/git/network/output/mininet_actual_experiment/archive_popeye_512kb/frame_action_single_path/1mbps/summary.csv""
}
","2026-05-13 11:50:31,318 INFO __main__ - Starting repeat 1/3 for video=archive_popeye_512kb policy=frame_action_single_path bandwidth=1.0 Mbps
2026-05-13 11:57:59,540 INFO __main__ - Starting repeat 2/3 for video=archive_popeye_512kb policy=frame_action_single_path bandwidth=1.0 Mbps
2026-05-13 12:05:20,324 INFO __main__ - Starting repeat 3/3 for video=archive_popeye_512kb policy=frame_action_single_path bandwidth=1.0 Mbps
"
