size_bin,policy_label,sample_count,late_frame_ratio_mean,late_frame_ratio_std,dropped_frame_ratio_mean,partial_reliability_ratio_mean,multipath_usage_ratio_mean,redundancy_ratio_mean
medium,frame_action_multipath,7,0.3485035259150627,0.4078453870227845,0.17822577367099407,0.8846269206004234,0.013508104901189744,0.0
medium,frame_action_single_path,7,0.3233330676400721,0.3924283843567917,0.17822577367099407,0.8846269206004234,0.0,0.0
medium,heuristic_baseline,7,0.4275567730438604,0.47791901180845753,0.0,,,
small,frame_action_multipath,6,0.12016997393582905,0.183882150599975,0.02764750159226449,0.9712376104126864,0.0037491825740342748,0.0
small,frame_action_single_path,6,0.07141058952386466,0.11482618021597442,0.02764750159226449,0.9712376104126864,0.0,0.0
small,heuristic_baseline,6,0.20898224142589697,0.3559388768397921,0.0,,,
