group,video_name,frame_count,i_count,p_count,b_count,i_ratio,p_ratio,b_ratio,i_per_1000_frames,median_gop_len_frames,mean_payload_bytes
animation,archive_bbb_512kb,14314,1194,13120,0,0.08341483861953332,0.9165851613804666,0.0,83.41483861953331,12.0,2667.77022495459
animation,archive_elephants_512kb,15691,1311,14380,0,0.08355108023707858,0.9164489197629214,0.0,83.55108023707858,12.0,2641.3212032375245
animation,bbb_mediaelement,1440,23,1417,0,0.01597222222222222,0.9840277777777777,0.0,15.972222222222221,64.0,3193.4729166666666
animation,w3c_bunny_trailer,811,33,389,389,0.040690505548705305,0.4796547472256473,0.4796547472256473,40.6905055487053,25.0,11416.309494451294
animation,w3c_sintel_trailer,1253,12,527,714,0.009577015163607342,0.4205905826017558,0.5698324022346368,9.577015163607342,112.0,2801.4349561053473
movie,archive_popeye_512kb,11098,925,10173,0,0.08334835105424401,0.916651648945756,0.0,83.34835105424402,12.0,2143.3179852225626
movie,echo_mediaelement,1338,14,1324,0,0.01046337817638266,0.9895366218236173,0.0,10.46337817638266,120.0,3408.6330343796712
movie,w3c_movie_300,7200,29,7171,0,0.004027777777777778,0.9959722222222223,0.0,4.027777777777778,250.0,153.3177777777778
nature,sample_10s_720p,303,2,76,225,0.006600660066006601,0.2508250825082508,0.7425742574257426,6.600660066006601,250.0,17549.27392739274
nature,sample_15s_720p,464,2,117,345,0.004310344827586207,0.2521551724137931,0.7435344827586207,4.310344827586206,250.0,25113.081896551725
nature,sample_20s_1080p,605,3,152,450,0.0049586776859504135,0.2512396694214876,0.743801652892562,4.958677685950414,250.0,18963.310743801652
nature,sample_30s_720p,911,4,229,678,0.0043907793633369925,0.2513721185510428,0.7442371020856202,4.390779363336993,250.0,23207.020856201976
nature,sample_5s_360p,171,1,43,127,0.005847953216374269,0.25146198830409355,0.7426900584795322,5.847953216374268,171.0,16072.508771929824
