content_type,policy,latency_mean_ms,latency_p95_ms,throughput_mbps,goodput_bytes,flush_count,syscall_count,mean_batch_size_bytes,staleness_penalty
static_file,immediate,16.638399999999994,16.638400000000004,606.2545643764535,16777216.0,4096,4096,4096.0,0.0
static_file,fixed_batch,18.3018,18.32680000000002,601.8008956771115,16777216.0,2048,2048,8192.0,0.0
static_file,heuristic_adaptive,28.282200000000003,28.4572,576.3950094736173,16777216.0,512,512,32768.0,0.0
dynamic_stream,immediate,39.44514666666666,39.78328000000002,0.9812422990198691,364715.0,300,300,1215.7166666666667,4333.543999999999
dynamic_stream,fixed_batch,40.303142813599095,49.732079999999975,0.9779533979582633,364715.0,204,204,1787.8186274509803,4590.942844079729
dynamic_stream,heuristic_adaptive,43.996837655821,44.78328000000002,0.9795950879505938,364715.0,295,295,1236.322033898305,5699.051296746298
