workload_kind,file_size_bytes,chunk_size_bytes,generation_gap_ms,rtt_ms,bandwidth_mbps,delayed_ack_ms,mss_bytes,nagle_penalty_factor,propagation_factor,message_size_mean,inter_arrival_time,queue_size,estimated_rtt,scenario_id,policy,resolved_batch_bytes,resolved_flush_interval_ms,latency_mean_ms,latency_p95_ms,throughput_mbps,goodput_bytes,flush_count,syscall_count,mean_batch_size_bytes,mean_queue_size_bytes,max_queue_size_bytes,mean_elapsed_time_since_last_flush_ms,deadline_miss_ms_sum,late_frame_ratio,keyframe_late_ratio,decodable_gop_ratio,useful_goodput_bytes,best_fixed_score_gap,batch_bytes,flush_interval_ms,trace_csv_path,playback_buffer_ms,loop_count,trace_name,mean_frame_bytes,p95_frame_bytes,frame_interval_ms,keyframe_interval_frames,i_ratio,p_ratio,b_ratio,throughput_mbps_score,goodput_bytes_score,latency_p95_ms_score,flush_count_score,objective_score,decodable_gop_ratio_score,late_frame_ratio_score,keyframe_late_ratio_score,useful_goodput_bytes_score
static_file,16777216.0,1024.0,0.05,10.0,20.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_20_10,fixed_hybrid,65536.0,4.0,3604.6253999999903,6839.306099999974,16.789731905649123,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,10.0,20.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_20_40,fixed_hybrid,65536.0,4.0,3604.6253999999903,6839.306099999974,16.789731905649123,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,4.0,13710.276599999965,26028.2468999999,4.771898196246007,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,65536.0,4.0,13710.276599999965,26028.2468999999,4.771898196246007,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,50.0,20.0,10.0,1460.0,0.25,0.5,1024.0,0.05,1024000.0,50.0,static_16777216_1024_50_20_10,fixed_hybrid,65536.0,4.0,6174.625400000003,11719.306100000045,10.234661846752191,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,50.0,20.0,40.0,1460.0,0.25,0.5,1024.0,0.05,1024000.0,50.0,static_16777216_1024_50_20_40,fixed_hybrid,65536.0,4.0,6174.625400000003,11719.306100000045,10.234661846752191,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,50.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,1024000.0,50.0,static_16777216_1024_50_5_10,fixed_hybrid,65536.0,4.0,16280.27659999996,30908.246899999893,4.037024599822198,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,50.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,1024000.0,50.0,static_16777216_1024_50_5_40,fixed_hybrid,65536.0,4.0,16280.27659999996,30908.246899999893,4.037024599822198,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,16384.0,0.05,10.0,20.0,10.0,1460.0,0.25,0.5,16384.0,0.05,3276800.0,10.0,static_16777216_16384_10_20_10,fixed_hybrid,65536.0,1.0,3985.6253999999903,7563.083939999971,16.796035117547515,16777216.0,256,256,65536.0,40960.0,65536.0,0.075,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,1.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,16384.0,0.05,10.0,20.0,40.0,1460.0,0.25,0.5,16384.0,0.05,3276800.0,10.0,static_16777216_16384_10_20_40,fixed_hybrid,65536.0,1.0,3985.6253999999903,7563.083939999971,16.796035117547515,16777216.0,256,256,65536.0,40960.0,65536.0,0.075,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,1.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
