content_type,file_size_bytes,chunk_size_bytes,message_size_bytes,interarrival_ms,change_rate,freshness_budget_ms,rtt_ms,bandwidth_mbps,delayed_ack_ms,generation_gap_ms,sample_messages,message_size,inter_arrival_time,queue_size,elapsed_time_since_last_flush,estimated_rtt,scenario_id,policy,resolved_batch_bytes,resolved_flush_interval_ms,latency_mean_ms,latency_p95_ms,throughput_mbps,goodput_bytes,flush_count,syscall_count,mean_batch_size_bytes,mean_queue_size_bytes,max_queue_size_bytes,mean_elapsed_time_since_last_flush_ms,staleness_penalty,batch_bytes,flush_interval_ms,throughput_mbps_score,latency_p95_ms_score,syscall_count_score,staleness_penalty_score,objective_score
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,512,0.0,9.138400000000013,9.138400000000047,162.04226450593777,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,512,0.0,0.990486687802844,0.9922357812242899,0.0,0.5,0.7932148345364223
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,512,2.0,9.138400000000013,9.138400000000047,162.04226450593777,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,512,2.0,0.990486687802844,0.9922357812242899,0.0,0.5,0.7932148345364223
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,512,5.0,9.138400000000013,9.138400000000047,162.04226450593777,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,512,5.0,0.990486687802844,0.9922357812242899,0.0,0.5,0.7932148345364223
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,512,10.0,9.138400000000013,9.138400000000047,162.04226450593777,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,512,10.0,0.990486687802844,0.9922357812242899,0.0,0.5,0.7932148345364223
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,512,20.0,9.138400000000013,9.138400000000047,162.04226450593777,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,512,20.0,0.990486687802844,0.9922357812242899,0.0,0.5,0.7932148345364223
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,512,50.0,9.138400000000013,9.138400000000047,162.04226450593777,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,512,50.0,0.990486687802844,0.9922357812242899,0.0,0.5,0.7932148345364223
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,2048,0.0,9.138400000000013,9.138400000000047,162.04226450593777,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,2048,0.0,0.990486687802844,0.9922357812242899,0.0,0.5,0.7932148345364223
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,2048,2.0,8.301799999999986,8.326800000000048,162.21099920863088,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,2048,2.0,1.0,1.0,0.5079365079365079,0.5,0.8761904761904762
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,2048,5.0,8.301799999999986,8.326800000000048,162.21099920863088,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,2048,5.0,1.0,1.0,0.5079365079365079,0.5,0.8761904761904762
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,2048,10.0,8.301799999999986,8.326800000000048,162.21099920863088,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,2048,10.0,1.0,1.0,0.5079365079365079,0.5,0.8761904761904762
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,2048,20.0,8.301799999999986,8.326800000000048,162.21099920863088,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,2048,20.0,1.0,1.0,0.5079365079365079,0.5,0.8761904761904762
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,2048,50.0,8.301799999999986,8.326800000000048,162.21099920863088,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,2048,50.0,1.0,1.0,0.5079365079365079,0.5,0.8761904761904762
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,8192,0.0,9.138400000000013,9.138400000000047,162.04226450593777,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,8192,0.0,0.990486687802844,0.9922357812242899,0.0,0.5,0.7932148345364223
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,8192,2.0,18.282200000000003,18.4572,160.30644824553312,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,8192,2.0,0.8926208561833531,0.903086937055873,0.8888888888888888,0.5,0.8548921916453522
static_file,16777216.0,1024.0,,,low,0.0,10,5.0,10.0,0.05,240,1024.0,0.05,204800.0,0.05,10.0,static_1024_10_5_10,fixed_batch,8192,5.0,18.282200000000003,18.4572,160.30644824553312,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,8192,5.0,0.8926208561833531,0.903086937055873,0.8888888888888888,0.5,0.8548921916453522
